subj,RT,acc,aftrIncorr,chngResp,cartoon,clip,afterPeak,before1stBound,dist,peak
6.0,-132.27209399665162,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,7.899999999999977,0.0
6.0,9.777958109816382,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,10.699999999999989,0.5166447647514479
,,,,,,,,,,
6.0,-140.12193767724762,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,0.39999999999997726,1.4026199468942473
6.0,,,-1.0,-1.0,1.0,4.0,-1.0,-1.0,4.100000000000023,0.8415813951089858
6.0,-94.0718855707795,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,8.5,0.24420134200323332
6.0,-188.0218334643115,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,11.899999999999977,0.10897736909928588
6.0,-163.9717813578435,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,15.0,0.3531787111025192
6.0,-4.9217292513754956,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,18.69999999999999,0.05448868454964294
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
6.0,-166.42120818669514,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,0.30000000000001137,0.0
6.0,81.62884391977298,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,3.8999999999999773,0.29869002655287624
6.0,-2.3211039737590227,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,7.199999999999989,0.4571086314438904
6.0,55.72894813270898,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,10.5,0.05448868454964294
6.0,-56.22099976082302,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,13.699999999999989,0.5973800531057525
,,,,,,,,,,
6.0,-112.1208955478869,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,3.6999999999999886,2.2936425777949614
,,,,,,,,,,
6.0,106.9792086650491,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,2.1999999999999886,0.5428913685561096
6.0,-64.97073922848278,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,4.800000000000011,0.7326040260097
6.0,-62.92068712201478,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,8.100000000000023,0.0
,,,,,,,,,,
6.0,-32.82058290907867,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,0.6000000000000227,1.5610385517852614
6.0,-74.77053080261066,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,3.6999999999999886,0.5428913685561096
6.0,-190.72047869614266,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,8.199999999999989,0.5115973159935333
6.0,9.329573410325338,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,11.800000000000011,0.7326040260097
6.0,-5.620374483206547,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,15.800000000000011,0.10897736909928588
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7.0,-5.273908187856023,1.0,-1.0,-1.0,1.0,4.0,-1.0,1.0,1.0,0.0
7.0,,0.0,-1.0,-1.0,1.0,4.0,-1.0,1.0,4.9,0.0
7.0,-19.780540371088478,1.0,-1.0,-1.0,1.0,4.0,-1.0,1.0,8.6,0.48840268400646664
7.0,-60.28717255432093,1.0,-1.0,-1.0,1.0,4.0,-1.0,1.0,11.4,0.3531787111025192
7.0,-97.79380473755339,1.0,-1.0,1.0,1.0,4.0,-1.0,1.0,14.5,0.945511315450357
7.0,175.69956307921416,1.0,-1.0,1.0,1.0,4.0,-1.0,1.0,18.4,0.0
,,,,,,,,,,
,,,,,,,,,,
7.0,17.179666529516908,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,1.8999999999999986,0.6468212888974807
7.0,-151.32696565371555,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,4.399999999999999,0.4571086314438904
7.0,151.166402163052,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,7.899999999999999,0.0
7.0,215.65976997981966,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,11.100000000000001,0.0
7.0,-117.8468622034128,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,14.899999999999999,1.0050474487579146
,,,,,,,,,,
7.0,,0.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,0.5,0.1634660536489288
,,,,,,,,,,
7.0,-88.8601265698777,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,0.29999999999999716,0.5428913685561096
7.0,40.63324124688995,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,3.299999999999997,0.945511315450357
7.0,75.1266090636575,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,6.799999999999997,0.05448868454964294
7.0,-69.38002311957496,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,9.299999999999997,0.4571086314438904
7.0,4.113344697192588,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,13.400000000000006,0.05448868454964294
7.0,-66.39328748603987,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,16.5,0.4026199468942474
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7.0,200.56691941456563,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,1.2999999999999972,0.6468212888974807
,,,,,,,,,,
7.0,48.55365504810072,1.0,-1.0,1.0,1.0,4.0,1.0,-1.0,0.0,0.29869002655287624
7.0,76.04702286486827,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,2.9000000000000057,0.24420134200323332
7.0,-18.459609318364187,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,7.0,0.0
7.0,55.03375849840347,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,11.200000000000003,0.0
7.0,-49.47287368482898,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,14.299999999999997,0.0
7.0,-8.979505868061437,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,17.400000000000006,0.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7.0,-139.5391955171533,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,2.5999999999999943,0.4026199468942474
7.0,-36.04582770038576,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,5.199999999999989,0.0
7.0,-77.55245988361821,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,7.900000000000006,0.48840268400646664
7.0,-81.05909206685055,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,11.0,0.05448868454964294
7.0,45.43427574991699,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,13.599999999999994,0.4026199468942474
7.0,-160.07235643331546,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,16.69999999999999,0.05448868454964294
7.0,6.4210113834520826,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,20.0,0.7557986579967666
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7.0,-90.12541389917487,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,1.3000000000000114,1.3299840791154525
7.0,146.36795391759267,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,4.900000000000006,0.8647760270960526
7.0,37.86132173436022,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,7.599999999999994,0.24420134200323332
7.0,-161.64531044887224,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,11.300000000000011,0.05448868454964294
7.0,339.8480573678953,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,14.400000000000006,0.9999999999999998
,,,,,,,,,,
,,,,,,,,,,
7.0,-206.65857481533703,1.0,1.0,1.0,1.0,4.0,-1.0,-1.0,3.6999999999999886,0.0
7.0,101.83479300143051,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,7.800000000000011,0.05448868454964294
7.0,-97.67183918180194,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,11.5,1.054488684549643
,,,,,,,,,,
7.0,-70.68510354826685,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,0.6999999999999886,1.158418604891014
7.0,-169.1917357314992,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,3.5,0.24420134200323332
7.0,1.301632085268352,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,7.300000000000011,0.5115973159935333
7.0,43.7949999020359,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,11.699999999999989,2.4652080520193995
,,,,,,,,,,
7.0,64.78173553557099,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,1.3000000000000114,0.10897736909928588
7.0,91.27510335233865,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,4.0,0.0
7.0,-174.2315288308938,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,7.899999999999977,0.0
7.0,55.26183898587374,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,10.699999999999989,0.5166447647514479
,,,,,,,,,,
7.0,-23.75142538059106,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,0.39999999999997726,1.4026199468942473
7.0,-122.25805756382351,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,4.100000000000023,0.8415813951089858
7.0,-46.76468974705597,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,8.5,0.24420134200323332
7.0,-81.27132193028842,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,11.899999999999977,0.10897736909928588
7.0,16.222045886479123,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,15.0,0.3531787111025192
7.0,-15.284586296753218,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,18.69999999999999,0.05448868454964294
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7.0,-16.35090812907754,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,0.30000000000001137,0.0
7.0,119.14245968769,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,3.8999999999999773,0.29869002655287624
7.0,-151.36417249554245,1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,7.199999999999989,0.4571086314438904
7.0,-119.8708046787749,1.0,-1.0,1.0,1.0,4.0,-1.0,-1.0,10.5,0.05448868454964294
